FirearmId,ModelName,ManufacturerName,BrandName,FirearmType,Caliber,ActionType,ProductionStartYear,ProductionEndYear,IsInProduction,CountryOfOrigin,MarketSegment,Weight_g,BarrelLength_mm,Capacity,ImageUrl,ImageThumbnailUrl,ImageFileName,SourceRef
1,Beretta 92,Beretta,92,Pistol,9×19mm Parabellum,Semi-automatic,1975,,1,Italy,Civilian/Military,950,125,15,https://upload.wikimedia.org/wikipedia/commons/7/7b/Beretta_92FS.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Beretta_92FS.jpg/200px-Beretta_92FS.jpg,beretta_92.jpg,https://en.wikipedia.org/wiki/Beretta_92
2,Colt M1911,Colt,Model 1911,Pistol,.45 ACP,Semi-automatic,1911,,0,United States,Military/Civilian,1100,127,7,https://upload.wikimedia.org/wikipedia/commons/9/9a/ColtM1911a1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/ColtM1911a1.jpg/200px-ColtM1911a1.jpg,colt_m1911.jpg,https://en.wikipedia.org/wiki/M1911
3,Glock 17,Glock,G17,Pistol,9×19mm Parabellum,Semi-automatic,1982,,1,Austria,Civilian/LE,625,114,17,https://upload.wikimedia.org/wikipedia/commons/1/1b/Glock_17.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Glock_17.jpg/200px-Glock_17.jpg,glock_17.jpg,https://en.wikipedia.org/wiki/Glock_17
4,HK MP5,Heckler & Koch,MP5,Submachine Gun,9×19mm Parabellum,Roller-delayed blowback,1966,,1,Germany,Military/LE,2700,225,30,https://upload.wikimedia.org/wikipedia/commons/3/3a/HK_MP5A3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/HK_MP5A3.jpg/200px-HK_MP5A3.jpg,hk_mp5.jpg,https://en.wikipedia.org/wiki/Heckler_%26_Koch_MP5
5,FN FAL,FN Herstal,FAL,Battle Rifle,7.62×51mm NATO,Select-fire,1953,,0,Belgium,Military,4300,533,20,https://upload.wikimedia.org/wikipedia/commons/0/0b/FN_FAL.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/FN_FAL.jpg/200px-FN_FAL.jpg,fn_fal.jpg,https://en.wikipedia.org/wiki/FN_FAL
6,Ruger 10/22,Ruger,10/22,Rimfire Rifle,.22 LR,Semi-automatic,1964,,1,United States,Civilian,1020,470,10,https://upload.wikimedia.org/wikipedia/commons/5/52/Ruger_10-22.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Ruger_10-22.jpg/200px-Ruger_10-22.jpg,ruger_1022.jpg,https://en.wikipedia.org/wiki/Ruger_10/22
7,Mauser Gewehr 98,Mauser,Gewehr 98,Bolt-action Rifle,7.92×57mm Mauser,Bolt-action,1898,1935,0,Germany,Military,4600,740,5,https://upload.wikimedia.org/wikipedia/commons/5/50/Gewehr98.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Gewehr98.jpg/200px-Gewehr98.jpg,gewehr_98.jpg,https://en.wikipedia.org/wiki/Gewehr_98
8,AK-47,Kalashnikov Concern,AK-47,Assault Rifle,7.62×39mm,Gas-operated rotating bolt,1949,,1,Russia,Military,3900,415,30,https://upload.wikimedia.org/wikipedia/commons/6/6f/AK-47-type_rifle.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/AK-47-type_rifle.jpg/200px-AK-47-type_rifle.jpg,ak47.jpg,https://en.wikipedia.org/wiki/AK-47
9,Winchester Model 1894,Winchester,Model 1894,Lever-action Rifle,.30-30 Winchester,Lever-action,1894,,0,United States,Civilian,3000,610,6,https://upload.wikimedia.org/wikipedia/commons/1/12/Winchester_model_1894.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Winchester_model_1894.jpg/200px-Winchester_model_1894.jpg,winchester_1894.jpg,https://en.wikipedia.org/wiki/Winchester_Model_1894
10,Smith & Wesson Model 29,Smith & Wesson,Model 29,Revolver,.44 Magnum,Double-action,1955,,1,United States,Civilian/LE,1400,152,6,https://upload.wikimedia.org/wikipedia/commons/6/66/SWModel29-3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/SWModel29-3.jpg/200px-SWModel29-3.jpg,s&w_model_29.jpg,https://en.wikipedia.org/wiki/Smith_%26_Wesson_Model_29
